country,year,gdpPercap,lifeExp,code,log_gdppc
Chile,1806,1030,32,cl,2.41077723337721
Colombia,1806,963,32,co,2.381566295796572
Costa Rica,1806,776,30.2,cr,2.287801729930226
Cuba,1806,926,33,cu,2.364550995353972
Dominican Republic,1806,668,29.9,do,2.2227164711475833
Ecuador,1806,529,32.9,ec,2.121395680707223
El Salvador,1806,975,28.7,sv,2.3869446243705745
Guatemala,1806,858,25.8,gt,2.331427296520743
Honduras,1806,675,33.9,hn,2.2272437815030623
Mexico,1806,1380,26.9,mx,2.537819095073274
Nicaragua,1806,974,25.4,ni,2.386498965550653
Panama,1806,848,32.9,pa,2.326335860928751
Paraguay,1806,836,35.5,py,2.3201462861110542
Peru,1806,1200,35.7,pe,2.4771212547196626
Spain,1806,1520,29.5,es,2.57978359661681
Uruguay,1806,1760,32.9,uy,2.6434526764861874
Venezuela,1806,682,32.2,ve,2.2317243833285163
Argentina,1807,1510,33.2,ar,2.576916955965207
Bolivia,1807,854,33,bo,2.329397879361043
Brazil,1807,1110,32,br,2.443262987458695
Chile,1807,1030,32,cl,2.41077723337721
Colombia,1807,963,32,co,2.381566295796572
Costa Rica,1807,776,30.2,cr,2.287801729930226
Cuba,1807,937,33.2,cu,2.3696795995598157
Dominican Republic,1807,668,29.9,do,2.2227164711475833
Ecuador,1807,530,32.9,ec,2.1222158782728267
El Salvador,1807,975,28.7,sv,2.3869446243705745
Guatemala,1807,858,25.8,gt,2.331427296520743
Honduras,1807,675,33.9,hn,2.2272437815030623
Mexico,1807,1380,26.9,mx,2.537819095073274
Nicaragua,1807,974,25.4,ni,2.386498965550653
Panama,1807,848,32.9,pa,2.326335860928751
Paraguay,1807,836,35.5,py,2.3201462861110542
Peru,1807,1200,35.7,pe,2.4771212547196626
Spain,1807,1520,29.5,es,2.57978359661681
Uruguay,1807,1760,32.9,uy,2.6434526764861874
Venezuela,1807,682,32.2,ve,2.2317243833285163
Argentina,1808,1510,33.2,ar,2.576916955965207
Bolivia,1808,855,33,bo,2.3299061234002103
Brazil,1808,1110,32,br,2.443262987458695
Chile,1808,1030,32,cl,2.41077723337721
Colombia,1808,963,32,co,2.381566295796572
Costa Rica,1808,776,30.2,cr,2.287801729930226
Cuba,1808,948,33.3,cu,2.374748346010104
Dominican Republic,1808,668,29.9,do,2.2227164711475833
Ecuador,1808,530,32.9,ec,2.1222158782728267
El Salvador,1808,976,28.7,sv,2.387389826338729
Guatemala,1808,858,25.8,gt,2.331427296520743
Honduras,1808,675,33.9,hn,2.2272437815030623
Mexico,1808,1380,26.9,mx,2.537819095073274
Nicaragua,1808,974,25.4,ni,2.386498965550653
Panama,1808,848,32.9,pa,2.326335860928751
Paraguay,1808,836,35.5,py,2.3201462861110542
Peru,1808,1210,35.7,pe,2.4807253789884878
Spain,1808,1520,29.5,es,2.57978359661681
Uruguay,1808,1760,32.9,uy,2.6434526764861874
Venezuela,1808,682,32.2,ve,2.2317243833285163
Argentina,1809,1510,33.2,ar,2.576916955965207
Bolivia,1809,855,33,bo,2.3299061234002103
Brazil,1809,1110,32,br,2.443262987458695
Chile,1809,1030,32,cl,2.41077723337721
Colombia,1809,963,32,co,2.381566295796572
Costa Rica,1809,776,30.2,cr,2.287801729930226
Cuba,1809,959,33.5,cu,2.379758615842701
Dominican Republic,1809,668,29.9,do,2.2227164711475833
Ecuador,1809,530,32.9,ec,2.1222158782728267
El Salvador,1809,976,28.7,sv,2.387389826338729
Guatemala,1809,858,25.8,gt,2.331427296520743
Honduras,1809,675,33.9,hn,2.2272437815030623
Mexico,1809,1380,26.9,mx,2.537819095073274
Nicaragua,1809,974,25.4,ni,2.386498965550653
Panama,1809,848,32.9,pa,2.326335860928751
Paraguay,1809,836,35.5,py,2.3201462861110542
Peru,1809,1210,35.7,pe,2.4807253789884878
Spain,1809,1520,29.5,es,2.57978359661681
Uruguay,1809,1760,32.9,uy,2.6434526764861874
Venezuela,1809,683,32.2,ve,2.2323607123535703
Argentina,1810,1510,33.2,ar,2.576916955965207
Bolivia,1810,855,33,bo,2.3299061234002103
Brazil,1810,1110,32,br,2.443262987458695
Chile,1810,1030,32,cl,2.41077723337721
Colombia,1810,964,32,co,2.3820170425748683
Costa Rica,1810,776,30.2,cr,2.287801729930226
Cuba,1810,970,33.6,cu,2.3847117429382823
Dominican Republic,1810,668,29.9,do,2.2227164711475833
Ecuador,1810,530,32.9,ec,2.1222158782728267
El Salvador,1810,976,28.7,sv,2.387389826338729
Guatemala,1810,858,25.8,gt,2.331427296520743
Honduras,1810,676,33.9,hn,2.2278867046136734
Mexico,1810,1380,26.9,mx,2.537819095073274
Nicaragua,1810,975,25.4,ni,2.3869446243705745
Panama,1810,848,32.9,pa,2.326335860928751
Paraguay,1810,836,35.5,py,2.3201462861110542
Peru,1810,1210,35.7,pe,2.4807253789884878
Spain,1810,1520,29.5,es,2.57978359661681
Uruguay,1810,1760,32.9,uy,2.6434526764861874
Venezuela,1810,683,32.2,ve,2.2323607123535703
Argentina,1811,1510,33.2,ar,2.576916955965207
Bolivia,1811,855,33,bo,2.3299061234002103
Brazil,1811,1110,32,br,2.443262987458695
Chile,1811,1030,32,cl,2.41077723337721
Colombia,1811,964,32,co,2.3820170425748683
Costa Rica,1811,776,30.2,cr,2.287801729930226
Cuba,1811,981,33.8,cu,2.389609016051986
Dominican Republic,1811,668,29.9,do,2.2227164711475833
Ecuador,1811,530,32.9,ec,2.1222158782728267
El Salvador,1811,976,28.7,sv,2.387389826338729
Guatemala,1811,858,25.8,gt,2.331427296520743
Honduras,1811,676,33.9,hn,2.2278867046136734
Mexico,1811,1380,26.9,mx,2.537819095073274
Nicaragua,1811,975,25.4,ni,2.3869446243705745
Panama,1811,848,32.9,pa,2.326335860928751
Paraguay,1811,836,35.5,py,2.3201462861110542
Peru,1811,1210,35.7,pe,2.4807253789884878
Spain,1811,1520,29.5,es,2.57978359661681
Uruguay,1811,1760,32.9,uy,2.6434526764861874
Venezuela,1811,683,32.2,ve,2.2323607123535703
Argentina,1812,1510,33.2,ar,2.576916955965207
Bolivia,1812,855,33,bo,2.3299061234002103
Brazil,1812,1110,32,br,2.443262987458695
Chile,1812,1030,32,cl,2.41077723337721
Colombia,1812,964,32,co,2.3820170425748683
Costa Rica,1812,776,30.2,cr,2.287801729930226
Cuba,1812,993,33.9,cu,2.394889257167419
Dominican Republic,1812,668,29.9,do,2.2227164711475833
Ecuador,1812,530,32.9,ec,2.1222158782728267
El Salvador,1812,976,28.7,sv,2.387389826338729
Guatemala,1812,859,25.8,gt,2.33193317250328
Honduras,1812,676,33.9,hn,2.2278867046136734
Mexico,1812,1380,26.9,mx,2.537819095073274
Nicaragua,1812,975,25.4,ni,2.3869446243705745
Panama,1812,849,32.9,pa,2.3268476989159903
Paraguay,1812,837,35.5,py,2.3206654666652975
Peru,1812,1210,35.7,pe,2.4807253789884878
Spain,1812,1520,29.5,es,2.57978359661681
Uruguay,1812,1760,32.9,uy,2.6434526764861874
Venezuela,1812,683,32.2,ve,2.2323607123535703
Argentina,1813,1510,33.2,ar,2.576916955965207
Bolivia,1813,855,33,bo,2.3299061234002103
Brazil,1813,1110,32,br,2.443262987458695
Chile,1813,1030,32,cl,2.41077723337721
Colombia,1813,964,32,co,2.3820170425748683
Costa Rica,1813,776,30.2,cr,2.287801729930226
Cuba,1813,1000,34.1,cu,2.3979400086720375
Dominican Republic,1813,668,29.9,do,2.2227164711475833
Ecuador,1813,530,32.9,ec,2.1222158782728267
El Salvador,1813,976,28.7,sv,2.387389826338729
Guatemala,1813,859,25.8,gt,2.33193317250328
Honduras,1813,676,33.9,hn,2.2278867046136734
Mexico,1813,1380,26.9,mx,2.537819095073274
Nicaragua,1813,975,25.4,ni,2.3869446243705745
Panama,1813,849,32.9,pa,2.3268476989159903
Paraguay,1813,837,35.5,py,2.3206654666652975
Peru,1813,1210,35.7,pe,2.4807253789884878
Spain,1813,1520,29.5,es,2.57978359661681
Uruguay,1813,1760,32.9,uy,2.6434526764861874
Venezuela,1813,683,32.2,ve,2.2323607123535703
Argentina,1814,1510,33.2,ar,2.576916955965207
Bolivia,1814,855,33,bo,2.3299061234002103
Brazil,1814,1110,32,br,2.443262987458695
Chile,1814,1030,32,cl,2.41077723337721
Colombia,1814,964,32,co,2.3820170425748683
Costa Rica,1814,777,30.2,cr,2.288361027472952
Cuba,1814,1020,34.2,cu,2.406540180433955
Dominican Republic,1814,668,29.9,do,2.2227164711475833
Ecuador,1814,530,32.9,ec,2.1222158782728267
El Salvador,1814,976,28.7,sv,2.387389826338729
Guatemala,1814,859,25.8,gt,2.33193317250328
Honduras,1814,676,33.9,hn,2.2278867046136734
Mexico,1814,1380,26.9,mx,2.537819095073274
Nicaragua,1814,975,25.4,ni,2.3869446243705745
Panama,1814,849,32.9,pa,2.3268476989159903
Paraguay,1814,837,35.5,py,2.3206654666652975
Peru,1814,1210,35.7,pe,2.4807253789884878
Spain,1814,1520,29.5,es,2.57978359661681
Uruguay,1814,1760,32.9,uy,2.6434526764861874
Venezuela,1814,683,32.2,ve,2.2323607123535703
Argentina,1815,1510,33.2,ar,2.576916955965207
Bolivia,1815,856,33,bo,2.330413773349191
Brazil,1815,1110,32,br,2.443262987458695
Chile,1815,1030,32,cl,2.41077723337721
Colombia,1815,964,32,co,2.3820170425748683
Costa Rica,1815,777,30.2,cr,2.288361027472952
Cuba,1815,1030,34.3,cu,2.41077723337721
Dominican Republic,1815,668,29.9,do,2.2227164711475833
Ecuador,1815,530,32.9,ec,2.1222158782728267
El Salvador,1815,977,28.7,sv,2.3878345723908105
Guatemala,1815,859,25.8,gt,2.33193317250328
Honduras,1815,676,33.9,hn,2.2278867046136734
Mexico,1815,1380,26.9,mx,2.537819095073274
Nicaragua,1815,975,25.4,ni,2.3869446243705745
Panama,1815,849,32.9,pa,2.3268476989159903
Paraguay,1815,837,35.5,py,2.3206654666652975
Peru,1815,1210,35.7,pe,2.4807253789884878
Spain,1815,1520,29.5,es,2.57978359661681
Uruguay,1815,1760,32.9,uy,2.6434526764861874
Venezuela,1815,683,32.2,ve,2.2323607123535703
Argentina,1816,1510,33.2,ar,2.576916955965207
Bolivia,1816,856,33,bo,2.330413773349191
Brazil,1816,1110,32,br,2.443262987458695
Chile,1816,1030,32,cl,2.41077723337721
Colombia,1816,964,32,co,2.3820170425748683
Costa Rica,1816,777,30.2,cr,2.288361027472952
Cuba,1816,1040,34.4,cu,2.4149733479708178
Dominican Republic,1816,669,29.9,do,2.2233661264398608
Ecuador,1816,530,32.9,ec,2.1222158782728267
El Salvador,1816,977,28.7,sv,2.3878345723908105
Guatemala,1816,859,25.8,gt,2.33193317250328
Honduras,1816,676,33.9,hn,2.2278867046136734
Mexico,1816,1380,26.9,mx,2.537819095073274
Nicaragua,1816,975,25.4,ni,2.3869446243705745
Panama,1816,849,32.9,pa,2.3268476989159903
Paraguay,1816,837,35.5,py,2.3206654666652975
Peru,1816,1210,35.7,pe,2.4807253789884878
Spain,1816,1520,29.5,es,2.57978359661681
Uruguay,1816,1760,32.9,uy,2.6434526764861874
Venezuela,1816,683,32.2,ve,2.2323607123535703
Argentina,1817,1510,33.2,ar,2.576916955965207
Bolivia,1817,856,33,bo,2.330413773349191
Brazil,1817,1110,32,br,2.443262987458695
Chile,1817,1030,32,cl,2.41077723337721
Colombia,1817,965,32,co,2.38246732201583
Costa Rica,1817,777,30.2,cr,2.288361027472952
Cuba,1817,1050,34.5,cu,2.4191293077419758
Dominican Republic,1817,669,29.9,do,2.2233661264398608
Ecuador,1817,530,32.9,ec,2.1222158782728267
El Salvador,1817,977,28.7,sv,2.3878345723908105
Guatemala,1817,859,25.8,gt,2.33193317250328
Honduras,1817,676,33.9,hn,2.2278867046136734
Mexico,1817,1380,26.9,mx,2.537819095073274
Nicaragua,1817,976,25.4,ni,2.387389826338729
Panama,1817,849,32.9,pa,2.3268476989159903
Paraguay,1817,837,35.5,py,2.3206654666652975
Peru,1817,1210,35.7,pe,2.4807253789884878
Spain,1817,1520,29.5,es,2.57978359661681
Uruguay,1817,1760,32.9,uy,2.6434526764861874
Venezuela,1817,683,32.2,ve,2.2323607123535703
Argentina,1818,1510,33.2,ar,2.576916955965207
Bolivia,1818,856,33,bo,2.330413773349191
Brazil,1818,1110,32,br,2.443262987458695
Chile,1818,1030,32,cl,2.41077723337721
Colombia,1818,965,32,co,2.38246732201583
Costa Rica,1818,777,30.2,cr,2.288361027472952
Cuba,1818,1060,34.6,cu,2.423245873936808
Dominican Republic,1818,669,29.9,do,2.2233661264398608
Ecuador,1818,530,32.9,ec,2.1222158782728267
El Salvador,1818,977,28.7,sv,2.3878345723908105
Guatemala,1818,859,25.8,gt,2.33193317250328
Honduras,1818,676,33.9,hn,2.2278867046136734
Mexico,1818,1380,26.9,mx,2.537819095073274
Nicaragua,1818,976,25.4,ni,2.387389826338729
Panama,1818,849,32.9,pa,2.3268476989159903
Paraguay,1818,837,35.5,py,2.3206654666652975
Peru,1818,1210,35.7,pe,2.4807253789884878
Spain,1818,1520,29.5,es,2.57978359661681
Uruguay,1818,1760,32.9,uy,2.6434526764861874
Venezuela,1818,683,32.2,ve,2.2323607123535703
Argentina,1819,1510,33.2,ar,2.576916955965207
Bolivia,1819,856,33,bo,2.330413773349191
Brazil,1819,1110,32,br,2.443262987458695
Chile,1819,1030,32,cl,2.41077723337721
Colombia,1819,965,32,co,2.38246732201583
Costa Rica,1819,777,30.2,cr,2.288361027472952
Cuba,1819,1080,34.7,cu,2.4313637641589874
Dominican Republic,1819,669,29.9,do,2.2233661264398608
Ecuador,1819,530,32.9,ec,2.1222158782728267
El Salvador,1819,977,28.7,sv,2.3878345723908105
Guatemala,1819,860,25.8,gt,2.3324384599156054
Honduras,1819,676,33.9,hn,2.2278867046136734
Mexico,1819,1380,26.9,mx,2.537819095073274
Nicaragua,1819,976,25.4,ni,2.387389826338729
Panama,1819,850,32.9,pa,2.3273589343863303
Paraguay,1819,837,35.5,py,2.3206654666652975
Peru,1819,1210,35.7,pe,2.4807253789884878
Spain,1819,1520,29.5,es,2.57978359661681
Uruguay,1819,1760,32.9,uy,2.6434526764861874
Venezuela,1819,684,32.2,ve,2.2329961103921536
Argentina,1820,1510,33.2,ar,2.576916955965207
Bolivia,1820,856,33,bo,2.330413773349191
Brazil,1820,1110,32,br,2.443262987458695
Chile,1820,1030,32,cl,2.41077723337721
Colombia,1820,965,32,co,2.38246732201583
Costa Rica,1820,777,30.2,cr,2.288361027472952
Cuba,1820,1090,35,cu,2.4353665066126613
Dominican Republic,1820,669,29.9,do,2.2233661264398608
Ecuador,1820,531,32.9,ec,2.1230345297535065
El Salvador,1820,977,28.7,sv,2.3878345723908105
Guatemala,1820,860,25.8,gt,2.3324384599156054
Honduras,1820,677,33.9,hn,2.2285286773571817
Mexico,1820,1380,26.9,mx,2.537819095073274
Nicaragua,1820,976,25.4,ni,2.387389826338729
Panama,1820,850,32.9,pa,2.3273589343863303
Paraguay,1820,838,35.5,py,2.3211840273023143
Peru,1820,1210,35.7,pe,2.4807253789884878
Spain,1820,1520,29.5,es,2.57978359661681
Uruguay,1820,1760,32.9,uy,2.6434526764861874
Venezuela,1820,684,32.2,ve,2.2329961103921536
Argentina,1821,1530,33.2,ar,2.5826314394896364
Bolivia,1821,864,33,bo,2.3344537511509307
Brazil,1821,1110,32,br,2.443262987458695
Chile,1821,984,32,cl,2.3909351071033793
Colombia,1821,968,32,co,2.383815365980431
Costa Rica,1821,786,30.2,cr,2.2933625547114453
Cuba,1821,1100,35.4,cu,2.439332693830263
Dominican Republic,1821,673,29.9,do,2.2259550728960145
Ecuador,1821,534,32.9,ec,2.125481265700594
El Salvador,1821,986,28.7,sv,2.391816923613249
Guatemala,1821,867,25.8,gt,2.335959106148248
Honduras,1821,685,33.9,hn,2.2336305801644634
Mexico,1821,1380,26.9,mx,2.537819095073274
Nicaragua,1821,986,25.4,ni,2.391816923613249
Panama,1821,859,32.9,pa,2.33193317250328
Paraguay,1821,848,35.5,py,2.326335860928751
Peru,1821,1210,35.7,pe,2.4807253789884878
Spain,1821,1530,29.5,es,2.5826314394896364
Uruguay,1821,1800,32.9,uy,2.6532125137753435
Venezuela,1821,687,32.2,ve,2.234896745731588
Argentina,1822,1560,33.2,ar,2.591064607026499
Bolivia,1822,873,33,bo,2.3389542523776075
Brazil,1822,1120,32,br,2.4471580313422194
Chile,1822,989,32,cl,2.393136300269217
Colombia,1822,970,32,co,2.3847117429382823
Costa Rica,1822,795,30.2,cr,2.298307137328508
Cuba,1822,1120,35.7,cu,2.4471580313422194
Dominican Republic,1822,676,29.9,do,2.2278867046136734
Ecuador,1822,537,32.9,ec,2.1279142943715934
El Salvador,1822,994,28.7,sv,2.395326393069351
Guatemala,1822,874,25.8,gt,2.3394514413064407
Honduras,1822,694,33.9,hn,2.2392994791268923
Mexico,1822,1380,26.9,mx,2.537819095073274
Nicaragua,1822,997,25.4,ni,2.3966351669836934
Panama,1822,869,32.9,pa,2.3369597851207042
Paraguay,1822,859,35.5,py,2.33193317250328
Peru,1822,1210,35.7,pe,2.4807253789884878
Spain,1822,1530,29.5,es,2.5826314394896364
Uruguay,1822,1850,32.9,uy,2.6651117370750512
Venezuela,1822,690,32.2,ve,2.2367890994092927
Argentina,1823,1580,33.2,ar,2.59659709562646
Bolivia,1823,881,33,bo,2.3429159170840856
Brazil,1823,1120,32,br,2.4471580313422194
Chile,1823,985,32,cl,2.391376239169649
Colombia,1823,973,32,co,2.3860528489403894
Costa Rica,1823,804,30.2,cr,2.303196057420489
Cuba,1823,1130,36.1,cu,2.4510184521554574
Dominican Republic,1823,680,29.9,do,2.230448921378274
Ecuador,1823,541,32.9,ec,2.131137273778607
El Salvador,1823,1000,28.7,sv,2.3979400086720375
Guatemala,1823,881,25.8,gt,2.3429159170840856
Honduras,1823,703,33.9,hn,2.244895333691862
Mexico,1823,1370,26.9,mx,2.534660575828444
Nicaragua,1823,1010,25.4,ni,2.40226138245468
Panama,1823,879,32.9,pa,2.3419288837458097
Paraguay,1823,870,35.5,py,2.337459261290656
Peru,1823,1220,35.7,pe,2.484299839346786
Spain,1823,1530,29.5,es,2.5826314394896364
Uruguay,1823,1890,32.9,uy,2.674401812845282
Venezuela,1823,693,32.2,ve,2.2386732432838445
Argentina,1824,1600,33.2,ar,2.6020599913279625
Bolivia,1824,889,33,bo,2.346841769642251
Brazil,1824,1120,32,br,2.4471580313422194
Chile,1824,962,32,cl,2.3811150807098507
Colombia,1824,975,32,co,2.3869446243705745
Costa Rica,1824,813,30.2,cr,2.308030554266106
