country,year,gdpPercap,lifeExp,code,log_gdppc
Ecuador,1854,659,32.9,ec,2.2168254232660476
El Salvador,1854,1300,28.7,sv,2.5118833609788744
Guatemala,1854,1130,25.8,gt,2.4510184521554574
Honduras,1854,1040,33.9,hn,2.4149733479708178
Mexico,1854,1280,26.9,mx,2.505149978319906
Nicaragua,1854,1400,25.4,ni,2.5440680443502757
Panama,1854,1250,32.9,pa,2.494850021680094
Paraguay,1854,1280,35.5,py,2.505149978319906
Peru,1854,1320,35.7,pe,2.5185139398778875
Spain,1854,1750,29.5,es,2.640978057358332
Uruguay,1854,3910,32.9,uy,2.990116766067904
Venezuela,1854,795,32.2,ve,2.298307137328508
Argentina,1855,2480,33.2,ar,2.792391689498254
Bolivia,1855,1190,33,bo,2.4734869700645685
Brazil,1855,1130,32,br,2.4510184521554574
Chile,1855,1470,32,cl,2.5652573434202135
Colombia,1855,1060,32,co,2.423245873936808
Costa Rica,1855,1150,30.2,cr,2.4586378490256493
Cuba,1855,1630,36.5,cu,2.6101276130759956
Dominican Republic,1855,809,29.9,do,2.3058885302843097
Ecuador,1855,663,32.9,ec,2.2194535370768107
El Salvador,1855,1310,28.7,sv,2.515211304327802
Guatemala,1855,1140,25.8,gt,2.45484486000851
Honduras,1855,1060,33.9,hn,2.423245873936808
Mexico,1855,1280,26.9,mx,2.505149978319906
Nicaragua,1855,1420,25.4,ni,2.550228353055094
Panama,1855,1260,32.9,pa,2.4983105537896004
Paraguay,1855,1300,35.5,py,2.5118833609788744
Peru,1855,1320,35.7,pe,2.5185139398778875
Spain,1855,1820,29.5,es,2.6580113966571126
Uruguay,1855,4000,32.9,uy,3
Venezuela,1855,798,32.2,ve,2.299942900022767
Argentina,1856,2520,33.2,ar,2.7993405494535817
Bolivia,1856,1200,33,bo,2.4771212547196626
Brazil,1856,1170,32,br,2.466125870418199
Chile,1856,1470,32,cl,2.5652573434202135
Colombia,1856,1060,32,co,2.423245873936808
Costa Rica,1856,1160,30.2,cr,2.462397997898956
Cuba,1856,1650,36.5,cu,2.6154239528859438
Dominican Republic,1856,813,29.9,do,2.308030554266106
Ecuador,1856,668,32.9,ec,2.2227164711475833
El Salvador,1856,1320,28.7,sv,2.5185139398778875
Guatemala,1856,1150,25.8,gt,2.4586378490256493
Honduras,1856,1070,33.9,hn,2.427323786357247
Mexico,1856,1280,26.9,mx,2.505149978319906
Nicaragua,1856,1430,25.4,ni,2.5532760461370994
Panama,1856,1280,32.9,pa,2.505149978319906
Paraguay,1856,1310,35.5,py,2.515211304327802
Peru,1856,1330,35.7,pe,2.5217916496391233
Spain,1856,1770,29.5,es,2.6459132750338443
Uruguay,1856,4100,32.9,uy,3.010723865391773
Venezuela,1856,802,32.2,ve,2.302114376956201
Argentina,1857,2550,33.2,ar,2.804480189105993
Bolivia,1857,1220,33,bo,2.484299839346786
Brazil,1857,1250,32,br,2.494850021680094
Chile,1857,1510,32,cl,2.576916955965207
Colombia,1857,1060,32,co,2.423245873936808
Costa Rica,1857,1180,30.2,cr,2.469822015978163
Cuba,1857,1670,36.6,cu,2.620656479819621
Dominican Republic,1857,818,29.9,do,2.3106933123433606
Ecuador,1857,672,32.9,ec,2.225309281725863
El Salvador,1857,1330,28.7,sv,2.5217916496391233
Guatemala,1857,1160,25.8,gt,2.462397997898956
Honduras,1857,1090,33.9,hn,2.4353665066126613
Mexico,1857,1270,26.9,mx,2.5017437296279943
Nicaragua,1857,1450,25.4,ni,2.5593080109070123
Panama,1857,1290,32.9,pa,2.5085297189712867
Paraguay,1857,1330,35.5,py,2.5217916496391233
Peru,1857,1330,35.7,pe,2.5217916496391233
Spain,1857,1720,29.5,es,2.6334684555795866
Uruguay,1857,4200,32.9,uy,3.0211892990699383
Venezuela,1857,805,32.2,ve,2.3037358890399062
Argentina,1858,2590,33.2,ar,2.8112397727532894
Bolivia,1858,1230,33,bo,2.4878451201114355
Brazil,1858,1330,32,br,2.5217916496391233
Chile,1858,1560,32,cl,2.591064607026499
Colombia,1858,1070,32,co,2.427323786357247
Costa Rica,1858,1190,30.2,cr,2.4734869700645685
Cuba,1858,1690,36.6,cu,2.625826713285711
Dominican Republic,1858,822,29.9,do,2.312811826212088
Ecuador,1858,676,32.9,ec,2.2278867046136734
El Salvador,1858,1340,28.7,sv,2.525044807036845
Guatemala,1858,1170,25.8,gt,2.466125870418199
Honduras,1858,1100,33.9,hn,2.439332693830263
Mexico,1858,1270,26.9,mx,2.5017437296279943
Nicaragua,1858,1460,25.4,ni,2.5622928644564746
Panama,1858,1300,32.9,pa,2.5118833609788744
Paraguay,1858,1350,35.5,py,2.5282737771670436
Peru,1858,1330,35.7,pe,2.5217916496391233
Spain,1858,1750,29.5,es,2.640978057358332
Uruguay,1858,4300,32.9,uy,3.031408464251624
Venezuela,1858,809,32.2,ve,2.3058885302843097
Argentina,1859,2630,33.2,ar,2.8178957571617955
Bolivia,1859,1240,33,bo,2.4913616938342726
Brazil,1859,1320,32,br,2.5185139398778875
Chile,1859,1590,32,cl,2.5993371329924893
Colombia,1859,1070,32,co,2.427323786357247
Costa Rica,1859,1200,30.2,cr,2.4771212547196626
Cuba,1859,1710,36.6,cu,2.6309361190641916
Dominican Republic,1859,826,29.9,do,2.31492005599242
Ecuador,1859,681,32.9,ec,2.2310871205848226
El Salvador,1859,1360,28.7,sv,2.531478917042255
Guatemala,1859,1180,25.8,gt,2.469822015978163
Honduras,1859,1110,33.9,hn,2.443262987458695
Mexico,1859,1270,26.9,mx,2.5017437296279943
Nicaragua,1859,1480,25.4,ni,2.568201724066995
Panama,1859,1320,32.9,pa,2.5185139398778875
Paraguay,1859,1360,35.5,py,2.531478917042255
Peru,1859,1340,35.7,pe,2.525044807036845
Spain,1859,1820,29.5,es,2.6580113966571126
Uruguay,1859,4400,32.9,uy,3.041392685158225
Venezuela,1859,813,32.2,ve,2.308030554266106
Argentina,1860,2660,33.2,ar,2.8228216453031045
Bolivia,1860,1250,33,bo,2.494850021680094
Brazil,1860,1360,32,br,2.531478917042255
Chile,1860,1630,32,cl,2.6101276130759956
Colombia,1860,1070,32,co,2.427323786357247
Costa Rica,1860,1220,30.2,cr,2.484299839346786
Cuba,1860,1730,36.2,cu,2.635986111800833
Dominican Republic,1860,831,29.9,do,2.3175410324561487
Ecuador,1860,685,32.9,ec,2.2336305801644634
El Salvador,1860,1370,28.7,sv,2.534660575828444
Guatemala,1860,1190,25.8,gt,2.4734869700645685
Honduras,1860,1130,33.9,hn,2.4510184521554574
Mexico,1860,1270,26.9,mx,2.5017437296279943
Nicaragua,1860,1490,25.4,ni,2.5711262770843115
Panama,1860,1330,32.9,pa,2.5217916496391233
Paraguay,1860,1380,35.5,py,2.537819095073274
Peru,1860,1340,35.7,pe,2.525044807036845
Spain,1860,1880,29.5,es,2.6720978579357175
Uruguay,1860,4500,32.9,uy,3.0511525224473814
Venezuela,1860,816,32.2,ve,2.3096301674258988
Argentina,1861,2700,33.2,ar,2.829303772831025
Bolivia,1861,1260,33,bo,2.4983105537896004
Brazil,1861,1350,32,br,2.5282737771670436
Chile,1861,1620,32,cl,2.6074550232146687
Colombia,1861,1070,32,co,2.427323786357247
Costa Rica,1861,1230,30.2,cr,2.4878451201114355
Cuba,1861,1750,35.9,cu,2.640978057358332
Dominican Republic,1861,835,29.9,do,2.3196264841556395
Ecuador,1861,689,32.9,ec,2.2361592305796636
El Salvador,1861,1380,28.7,sv,2.537819095073274
Guatemala,1861,1200,25.8,gt,2.4771212547196626
Honduras,1861,1140,33.9,hn,2.45484486000851
Mexico,1861,1260,26.9,mx,2.4983105537896004
Nicaragua,1861,1510,25.4,ni,2.576916955965207
Panama,1861,1350,32.9,pa,2.5282737771670436
Paraguay,1861,1400,35.5,py,2.5440680443502757
Peru,1861,1340,35.7,pe,2.525044807036845
Spain,1861,1900,29.5,es,2.6766936096248664
Uruguay,1861,4610,32.9,uy,3.061640934061686
Venezuela,1861,820,32.2,ve,2.311753861055754
Argentina,1862,2740,33.2,ar,2.8356905714924254
Bolivia,1862,1270,33,bo,2.5017437296279943
Brazil,1862,1280,32,br,2.505149978319906
Chile,1862,1600,32,cl,2.6020599913279625
Colombia,1862,1080,32,co,2.4313637641589874
Costa Rica,1862,1240,30.2,cr,2.4913616938342726
Cuba,1862,1770,35.5,cu,2.6459132750338443
Dominican Republic,1862,840,29.9,do,2.322219294733919
Ecuador,1862,694,32.9,ec,2.2392994791268923
El Salvador,1862,1390,28.7,sv,2.540954808926133
Guatemala,1862,1210,25.8,gt,2.4807253789884878
Honduras,1862,1160,33.9,hn,2.462397997898956
Mexico,1862,1260,26.9,mx,2.4983105537896004
Nicaragua,1862,1520,25.4,ni,2.57978359661681
Panama,1862,1360,32.9,pa,2.531478917042255
Paraguay,1862,1420,35.5,py,2.550228353055094
Peru,1862,1350,35.7,pe,2.5282737771670436
Spain,1862,1900,29.5,es,2.6766936096248664
Uruguay,1862,4720,32.9,uy,3.0718820073061255
Venezuela,1862,823,32.2,ve,2.3133398438843074
Argentina,1863,2780,33.2,ar,2.8419848045901137
Bolivia,1863,1290,33,bo,2.5085297189712867
Brazil,1863,1310,32,br,2.515211304327802
Chile,1863,1640,32,cl,2.6127838567197355
Colombia,1863,1080,32,co,2.4313637641589874
Costa Rica,1863,1260,30.2,cr,2.4983105537896004
Cuba,1863,1790,35.2,cu,2.650793039651931
Dominican Republic,1863,845,29.9,do,2.32479671762173
Ecuador,1863,698,32.9,ec,2.241795431295199
El Salvador,1863,1400,28.7,sv,2.5440680443502757
Guatemala,1863,1220,25.8,gt,2.484299839346786
Honduras,1863,1170,33.9,hn,2.466125870418199
Mexico,1863,1260,26.9,mx,2.4983105537896004
Nicaragua,1863,1540,25.4,ni,2.5854607295085006
Panama,1863,1380,32.9,pa,2.537819095073274
Paraguay,1863,1430,35.5,py,2.5532760461370994
Peru,1863,1350,35.7,pe,2.5282737771670436
Spain,1863,1940,29.5,es,2.6857417386022635
Uruguay,1863,4830,32.9,uy,3.0818871394235496
Venezuela,1863,827,32.2,ve,2.315445518224584
Argentina,1864,2820,33.2,ar,2.848189116991399
Bolivia,1864,1300,33,bo,2.5118833609788744
Brazil,1864,1330,32,br,2.5217916496391233
Chile,1864,1710,32,cl,2.6309361190641916
Colombia,1864,1080,32,co,2.4313637641589874
Costa Rica,1864,1270,30.2,cr,2.5017437296279943
Cuba,1864,1810,34.8,cu,2.655618583541222
Dominican Republic,1864,849,29.9,do,2.3268476989159903
Ecuador,1864,703,32.9,ec,2.244895333691862
El Salvador,1864,1410,28.7,sv,2.5471591213274176
Guatemala,1864,1230,25.8,gt,2.4878451201114355
Honduras,1864,1190,33.9,hn,2.4734869700645685
Mexico,1864,1250,26.9,mx,2.494850021680094
Nicaragua,1864,1560,25.4,ni,2.591064607026499
Panama,1864,1400,32.9,pa,2.5440680443502757
Paraguay,1864,1450,35.5,py,2.5593080109070123
Peru,1864,1360,35.7,pe,2.531478917042255
Spain,1864,1940,29.5,es,2.6857417386022635
Uruguay,1864,4950,32.9,uy,3.0925452076056064
Venezuela,1864,831,32.2,ve,2.3175410324561487
Argentina,1865,2860,33.2,ar,2.8543060418010806
Bolivia,1865,1310,33,bo,2.515211304327802
Brazil,1865,1430,32,br,2.5532760461370994
Chile,1865,1750,32,cl,2.640978057358332
Colombia,1865,1080,32,co,2.4313637641589874
Costa Rica,1865,1290,30.2,cr,2.5085297189712867
Cuba,1865,1840,33.8,cu,2.662757831681574
Dominican Republic,1865,854,29.9,do,2.329397879361043
Ecuador,1865,707,32.9,ec,2.247359422468937
El Salvador,1865,1430,28.7,sv,2.5532760461370994
Guatemala,1865,1240,25.8,gt,2.4913616938342726
Honduras,1865,1200,33.9,hn,2.4771212547196626
Mexico,1865,1250,26.9,mx,2.494850021680094
Nicaragua,1865,1570,25.4,ni,2.5938396610812715
Panama,1865,1410,32.9,pa,2.5471591213274176
Paraguay,1865,1470,35.5,py,2.5652573434202135
Peru,1865,1360,35.7,pe,2.531478917042255
Spain,1865,1870,29.5,es,2.6697816152085365
Uruguay,1865,5060,32.9,uy,3.1020905255118367
Venezuela,1865,834,32.2,ve,2.3191060593097763
Argentina,1866,2900,33.2,ar,2.8603380065709936
Bolivia,1866,1320,33,bo,2.5185139398778875
Brazil,1866,1480,32,br,2.568201724066995
Chile,1866,1770,32,cl,2.6459132750338443
Colombia,1866,1090,32,co,2.4353665066126613
Costa Rica,1866,1300,30.2,cr,2.5118833609788744
Cuba,1866,1860,32.7,cu,2.667452952889954
Dominican Republic,1866,858,29.9,do,2.331427296520743
Ecuador,1866,712,32.9,ec,2.250420002308894
El Salvador,1866,1440,28.7,sv,2.5563025007672873
Guatemala,1866,1250,25.8,gt,2.494850021680094
Honduras,1866,1220,33.9,hn,2.484299839346786
Mexico,1866,1250,26.9,mx,2.494850021680094
Nicaragua,1866,1590,25.4,ni,2.5993371329924893
Panama,1866,1430,32.9,pa,2.5532760461370994
Paraguay,1866,1490,35.5,py,2.5711262770843115
Peru,1866,1360,35.7,pe,2.531478917042255
Spain,1866,1960,29.5,es,2.690196080028514
Uruguay,1866,5180,32.9,uy,3.1122697684172707
Venezuela,1866,838,32.2,ve,2.3211840273023143
Argentina,1867,2940,33.2,ar,2.8662873390841948
Bolivia,1867,1340,33,bo,2.525044807036845
Brazil,1867,1600,32,br,2.6020599913279625
Chile,1867,1680,32,cl,2.6232492903979003
Colombia,1867,1090,32,co,2.4353665066126613
Costa Rica,1867,1310,30.2,cr,2.515211304327802
Cuba,1867,1880,31.7,cu,2.6720978579357175
Dominican Republic,1867,863,29.9,do,2.3339508043872472
Ecuador,1867,716,32.9,ec,2.2528530309798933
El Salvador,1867,1450,28.7,sv,2.5593080109070123
Guatemala,1867,1260,25.8,gt,2.4983105537896004
Honduras,1867,1230,33.9,hn,2.4878451201114355
Mexico,1867,1250,26.9,mx,2.494850021680094
Nicaragua,1867,1610,25.4,ni,2.6047658847038875
Panama,1867,1440,32.9,pa,2.5563025007672873
Paraguay,1867,1510,35.5,py,2.576916955965207
Peru,1867,1370,35.7,pe,2.534660575828444
Spain,1867,1950,29.5,es,2.687974620034556
Uruguay,1867,5310,32.9,uy,3.1230345297535065
Venezuela,1867,842,32.2,ve,2.323252100171687
Argentina,1868,2980,33.2,ar,2.8721562727482928
Bolivia,1868,1350,33,bo,2.5282737771670436
Brazil,1868,1600,32,br,2.6020599913279625
Chile,1868,1750,32,cl,2.640978057358332
Colombia,1868,1090,32,co,2.4353665066126613
Costa Rica,1868,1330,30.2,cr,2.5217916496391233
Cuba,1868,1900,30.6,cu,2.6766936096248664
Dominican Republic,1868,868,29.9,do,2.3364597338485296
Ecuador,1868,721,32.9,ec,2.2558752733914664
El Salvador,1868,1460,28.7,sv,2.5622928644564746
Guatemala,1868,1270,25.8,gt,2.5017437296279943
Honduras,1868,1250,33.9,hn,2.494850021680094
Mexico,1868,1240,26.9,mx,2.4913616938342726
Nicaragua,1868,1630,25.4,ni,2.6101276130759956
Panama,1868,1460,32.9,pa,2.5622928644564746
Paraguay,1868,1530,35.5,py,2.5826314394896364
Peru,1868,1370,35.7,pe,2.534660575828444
Spain,1868,1750,29.5,es,2.640978057358332
Uruguay,1868,5430,32.9,uy,3.1327398382608846
Venezuela,1868,846,32.2,ve,2.325310371711061
Argentina,1869,3030,33.2,ar,2.8793826371743427
Bolivia,1869,1360,33,bo,2.531478917042255
Brazil,1869,1600,32,br,2.6020599913279625
Chile,1869,1910,32,cl,2.678973375919765
Colombia,1869,1100,32,co,2.439332693830263
Costa Rica,1869,1340,30.2,cr,2.525044807036845
Cuba,1869,1920,29.6,cu,2.681241237375587
Dominican Republic,1869,873,29.9,do,2.3389542523776075
Ecuador,1869,726,32.9,ec,2.258876629372131
El Salvador,1869,1470,28.7,sv,2.5652573434202135
Guatemala,1869,1280,25.8,gt,2.505149978319906
Honduras,1869,1270,33.9,hn,2.5017437296279943
Mexico,1869,1240,26.9,mx,2.4913616938342726
Nicaragua,1869,1640,25.4,ni,2.6127838567197355
Panama,1869,1480,32.9,pa,2.568201724066995
Paraguay,1869,1550,35.5,py,2.588271706842329
Peru,1869,1370,35.7,pe,2.534660575828444
Spain,1869,1800,29.5,es,2.6532125137753435
Uruguay,1869,5560,32.9,uy,3.143014800254095
Venezuela,1869,849,32.2,ve,2.3268476989159903
Argentina,1870,3070,33.2,ar,2.885078384149224
Bolivia,1870,1370,33,bo,2.534660575828444
Brazil,1870,1490,32,br,2.5711262770843115
Chile,1870,1930,32,cl,2.6834973176798114
Colombia,1870,1100,32,co,2.439332693830263
Costa Rica,1870,1360,30.2,cr,2.531478917042255
Cuba,1870,1950,29.7,cu,2.687974620034556
Dominican Republic,1870,877,29.9,do,2.340939602038078
Ecuador,1870,730,32.9,ec,2.2612628687924934
El Salvador,1870,1490,28.7,sv,2.5711262770843115
Guatemala,1870,1290,25.8,gt,2.5085297189712867
Honduras,1870,1280,33.9,hn,2.505149978319906
Mexico,1870,1240,26.9,mx,2.4913616938342726
Nicaragua,1870,1660,25.4,ni,2.6180480967120925
Panama,1870,1490,32.9,pa,2.5711262770843115
Paraguay,1870,1570,35.5,py,2.5938396610812715
Peru,1870,1380,35.7,pe,2.537819095073274
Spain,1870,1840,29.5,es,2.662757831681574
Uruguay,1870,5690,32.9,uy,3.153052275067109
Venezuela,1870,853,32.2,ve,2.3288890398395607
Argentina,1871,3110,33.2,ar,2.890700397698875
Bolivia,1871,1390,33,bo,2.540954808926133
Brazil,1871,1490,32,br,2.5711262770843115
Chile,1871,1900,32,cl,2.6766936096248664
Colombia,1871,1100,32,co,2.439332693830263
Costa Rica,1871,1370,30.2,cr,2.534660575828444
Cuba,1871,1970,29.7,cu,2.6924062348336304
Dominican Republic,1871,882,29.9,do,2.3434085938038574
Ecuador,1871,735,32.9,ec,2.2642273477562327
El Salvador,1871,1500,28.7,sv,2.574031267727719
Guatemala,1871,1300,25.8,gt,2.5118833609788744
Honduras,1871,1300,33.9,hn,2.5118833609788744
Mexico,1871,1260,26.9,mx,2.4983105537896004
Nicaragua,1871,1680,25.4,ni,2.6232492903979003
Panama,1871,1510,32.9,pa,2.576916955965207
Paraguay,1871,1590,35.5,py,2.5993371329924893
Peru,1871,1380,35.7,pe,2.537819095073274
Spain,1871,1980,29.5,es,2.694605198933569
Uruguay,1871,5690,32.9,uy,3.153052275067109
Venezuela,1871,878,32.2,ve,2.34143452457814
Argentina,1872,3160,33.2,ar,2.8976270912904414
Bolivia,1872,1400,33.1,bo,2.5440680443502757
Brazil,1872,1540,32,br,2.5854607295085006
Chile,1872,2020,32,cl,2.7032913781186614
Colombia,1872,1100,32,co,2.439332693830263
Costa Rica,1872,1390,30.2,cr,2.540954808926133
Cuba,1872,1990,29.8,cu,2.6967930850817443
Dominican Republic,1872,887,30,do,2.345863628503764
Ecuador,1872,740,33,ec,2.2671717284030137
El Salvador,1872,1510,28.7,sv,2.576916955965207
Guatemala,1872,1310,25.8,gt,2.515211304327802
Honduras,1872,1310,34,hn,2.515211304327802
Mexico,1872,1290,26.9,mx,2.5085297189712867
Nicaragua,1872,1700,25.4,ni,2.6283889300503116
Panama,1872,1530,32.9,pa,2.5826314394896364
Paraguay,1872,1610,35.5,py,2.6047658847038875
Peru,1872,1380,35.6,pe,2.537819095073274
Spain,1872,2240,29.5,es,2.7481880270062002
Uruguay,1872,6870,32.9,uy,3.234896745731588
Venezuela,1872,904,32.2,ve,2.3541084391474008
Argentina,1873,3200,33.2,ar,2.9030899869919438
Bolivia,1873,1410,33.1,bo,2.5471591213274176
Brazil,1873,1490,32,br,2.5711262770843115
Chile,1873,2120,32,cl,2.724275869600789
Colombia,1873,1110,32.1,co,2.443262987458695
Costa Rica,1873,1410,30.2,cr,2.5471591213274176
Cuba,1873,2010,29.9,cu,2.7011360660925265
Dominican Republic,1873,892,30,do,2.3483048630481607
Ecuador,1873,744,33,ec,2.2695129442179165
El Salvador,1873,1530,28.7,sv,2.5826314394896364
Guatemala,1873,1320,25.8,gt,2.5185139398778875
Honduras,1873,1330,34,hn,2.5217916496391233
Mexico,1873,1320,26.9,mx,2.5185139398778875
Nicaragua,1873,1710,25.5,ni,2.6309361190641916
Panama,1873,1540,32.9,pa,2.5854607295085006
Paraguay,1873,1630,35.6,py,2.6101276130759956
Peru,1873,1390,35.6,pe,2.540954808926133
Spain,1873,2430,29.5,es,2.7835462822703496
Uruguay,1873,6790,32.9,uy,3.229809782952539
Venezuela,1873,930,32.2,ve,2.3664229572259727
Argentina,1874,3250,33.2,ar,2.909823369650912
Bolivia,1874,1430,33.1,bo,2.5532760461370994
Brazil,1874,1520,32,br,2.57978359661681
Chile,1874,2000,32,cl,2.6989700043360187
Colombia,1874,1110,32.1,co,2.443262987458695
Costa Rica,1874,1420,30.3,cr,2.550228353055094
Cuba,1874,2040,29.9,cu,2.7075701760979363
Dominican Republic,1874,896,30,do,2.3502480183341627
Ecuador,1874,749,33,ec,2.272421826371504
El Salvador,1874,1540,28.8,sv,2.5854607295085006
Guatemala,1874,1330,25.8,gt,2.5217916496391233
Honduras,1874,1350,34,hn,2.5282737771670436
Mexico,1874,1340,26.9,mx,2.525044807036845
Nicaragua,1874,1730,25.5,ni,2.635986111800833
Panama,1874,1560,33,pa,2.591064607026499
Paraguay,1874,1650,35.6,py,2.6154239528859438
Peru,1874,1390,35.5,pe,2.540954808926133
Spain,1874,2220,29.5,es,2.7442929831226763
Uruguay,1874,6050,32.9,uy,3.1796953833245065
Venezuela,1874,957,32.2,ve,2.378851946448881
Argentina,1875,3300,33.2,ar,2.916453948549925
Bolivia,1875,1440,33.2,bo,2.5563025007672873
Brazil,1875,1540,32.1,br,2.5854607295085006
Chile,1875,2130,32,cl,2.726319612110775
Colombia,1875,1110,32.1,co,2.443262987458695
Costa Rica,1875,1440,30.3,cr,2.5563025007672873
Cuba,1875,2060,31.1,cu,2.711807229041191
Dominican Republic,1875,901,30.1,do,2.3526647996511008
Ecuador,1875,754,33,ec,2.2753113545418118
El Salvador,1875,1550,28.8,sv,2.588271706842329
Guatemala,1875,1350,25.8,gt,2.5282737771670436
Honduras,1875,1370,34.1,hn,2.534660575828444
Mexico,1875,1370,26.9,mx,2.534660575828444
Nicaragua,1875,1750,25.5,ni,2.640978057358332
Panama,1875,1580,33,pa,2.59659709562646
Paraguay,1875,1670,35.6,py,2.620656479819621
Peru,1875,1400,35.5,pe,2.5440680443502757
Spain,1875,2280,29.5,es,2.7558748556724915
Uruguay,1875,5070,32.9,uy,3.1029479680053735
Venezuela,1875,985,32.3,ve,2.391376239169649
Argentina,1876,3270,33.1,ar,2.912487761332324
Bolivia,1876,1460,33.2,bo,2.5622928644564746
Brazil,1876,1480,32.1,br,2.568201724066995
Chile,1876,2080,32,cl,2.716003343634799
Colombia,1876,1120,32.2,co,2.4471580313422194
Costa Rica,1876,1450,30.3,cr,2.5593080109070123
Cuba,1876,2090,32.3,cu,2.7180862947830917
Dominican Republic,1876,906,30.1,do,2.3550682063488506
Ecuador,1876,759,33.1,ec,2.278181784567518
El Salvador,1876,1560,28.8,sv,2.591064607026499
Guatemala,1876,1360,25.8,gt,2.531478917042255
Honduras,1876,1380,34.1,hn,2.537819095073274
Mexico,1876,1400,26.9,mx,2.5440680443502757
Nicaragua,1876,1770,25.5,ni,2.6459132750338443
Panama,1876,1600,33,pa,2.6020599913279625
Paraguay,1876,1690,35.6,py,2.625826713285711
Peru,1876,1400,35.5,pe,2.5440680443502757
Spain,1876,2310,29.5,es,2.761551988564182
Uruguay,1876,5500,32.9,uy,3.1383026981662816
Venezuela,1876,1010,32.3,ve,2.40226138245468
Argentina,1877,3500,33.1,ar,2.942008053022313
Bolivia,1877,1470,33.2,bo,2.5652573434202135
Brazil,1877,1440,32.1,br,2.5563025007672873
Chile,1877,1980,32,cl,2.694605198933569
Colombia,1877,1120,32.2,co,2.4471580313422194
Costa Rica,1877,1470,30.3,cr,2.5652573434202135
Cuba,1877,2110,33.5,cu,2.72222246396973
Dominican Republic,1877,911,30.1,do,2.3574583856450357
Ecuador,1877,764,33.1,ec,2.2810333672477277
El Salvador,1877,1580,28.8,sv,2.59659709562646
Guatemala,1877,1370,25.8,gt,2.534660575828444
Honduras,1877,1400,34.1,hn,2.5440680443502757
Mexico,1877,1430,26.9,mx,2.5532760461370994
Nicaragua,1877,1790,25.6,ni,2.650793039651931
Panama,1877,1620,33,pa,2.6074550232146687
Paraguay,1877,1710,35.6,py,2.6309361190641916
Peru,1877,1400,35.4,pe,2.5440680443502757
Spain,1877,2540,29.5,es,2.8027737252919755
Uruguay,1877,5550,32.9,uy,3.142232991794714
Venezuela,1877,1040,32.3,ve,2.4149733479708178
Argentina,1878,3220,33.1,ar,2.9057958803678687
Bolivia,1878,1480,33.3,bo,2.568201724066995
Brazil,1878,1510,32.1,br,2.576916955965207
Chile,1878,2070,32.1,cl,2.7139103541289553
Colombia,1878,1120,32.2,co,2.4471580313422194
Costa Rica,1878,1490,30.3,cr,2.5711262770843115
Cuba,1878,2130,34.7,cu,2.726319612110775
Dominican Republic,1878,916,30.2,do,2.359835482339888
Ecuador,1878,769,33.1,ec,2.2838663484734685
El Salvador,1878,1590,28.8,sv,2.5993371329924893
Guatemala,1878,1380,25.8,gt,2.537819095073274
Honduras,1878,1420,34.1,hn,2.550228353055094
Mexico,1878,1460,26.9,mx,2.5622928644564746
Nicaragua,1878,1810,25.6,ni,2.655618583541222
Panama,1878,1630,33,pa,2.6101276130759956
Paraguay,1878,1730,35.7,py,2.635986111800833
Peru,1878,1410,35.4,pe,2.5471591213274176
Spain,1878,2460,29.5,es,2.788875115775417
Uruguay,1878,5870,32.9,uy,3.166578109919652
Venezuela,1878,1070,32.3,ve,2.427323786357247
Argentina,1879,3260,33.1,ar,2.9111576087399764
Bolivia,1879,1500,33.3,bo,2.574031267727719
Brazil,1879,1520,32.1,br,2.57978359661681
Chile,1879,2350,32.1,cl,2.7690078709437738
Colombia,1879,1120,32.2,co,2.4471580313422194
Costa Rica,1879,1500,30.3,cr,2.574031267727719
Cuba,1879,2160,35.9,cu,2.7323937598229686
Dominican Republic,1879,921,30.2,do,2.3621996388688866
Ecuador,1879,773,33.2,ec,2.2861195025903625
El Salvador,1879,1600,28.8,sv,2.6020599913279625
Guatemala,1879,1390,25.8,gt,2.540954808926133
Honduras,1879,1440,34.2,hn,2.5563025007672873
Mexico,1879,1490,26.9,mx,2.5711262770843115
Nicaragua,1879,1830,25.6,ni,2.6603910984024672
Panama,1879,1650,33,pa,2.6154239528859438
Paraguay,1879,1750,35.7,py,2.640978057358332
Peru,1879,1410,35.4,pe,2.5471591213274176
Spain,1879,2320,29.5,es,2.7634279935629373
Uruguay,1879,5090,32.9,uy,3.1046577910087962
Venezuela,1879,1110,32.3,ve,2.443262987458695
Argentina,1880,3100,33,ar,2.88930170250631
Bolivia,1880,1510,33.3,bo,2.576916955965207
Brazil,1880,1450,32.1,br,2.5593080109070123
Chile,1880,2600,32.1,cl,2.8129133566428557
Colombia,1880,1130,32.3,co,2.4510184521554574
Costa Rica,1880,1520,30.3,cr,2.57978359661681
Cuba,1880,2180,37,cu,2.7363965022766426
Dominican Republic,1880,926,30.2,do,2.364550995353972
Ecuador,1880,778,33.2,ec,2.2889196056617265
El Salvador,1880,1620,28.8,sv,2.6074550232146687
Guatemala,1880,1400,25.8,gt,2.5440680443502757
Honduras,1880,1460,34.2,hn,2.5622928644564746
Mexico,1880,1520,26.9,mx,2.57978359661681
Nicaragua,1880,1850,25.6,ni,2.6651117370750512
Panama,1880,1670,33,pa,2.620656479819621
Paraguay,1880,1770,35.7,py,2.6459132750338443
Peru,1880,1410,35.3,pe,2.5471591213274176
Spain,1880,2510,29.5,es,2.797613730153076
Uruguay,1880,5440,32.9,uy,3.1335389083702174
